OriginName,DestinationName,RecordedAtTime,VehicleLocation_Latitude,VehicleLocation_Longitude
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:34:52,40.673993,-73.730193
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:34:30,40.689954,-73.77801
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:44:25,40.665612,-73.734658
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:44:29,40.704046,-73.793762
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:44:41,40.679564,-73.75703
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:54:31,40.691986,-73.779546
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 13:54:49,40.673985,-73.735208
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:04:52,40.700446,-73.789249
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:04:35,40.679809,-73.756401
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:14:28,40.682108,-73.766726
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:14:39,40.674907,-73.737055
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:14:27,40.702487,-73.799848
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:14:45,40.703622,-73.792228
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:51,40.691568,-73.779221
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:28,40.704341,-73.793076
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:38,40.668441,-73.729186
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:43,40.702508,-73.799744
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:28,40.68012,-73.753901
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:34:53,40.679537,-73.757099
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:46,40.680009,-73.752824
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:32,40.689284,-73.777494
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:31,40.698505,-73.787149
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:47,40.665609,-73.735288
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:47,40.702327,-73.800509
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:33,40.673617,-73.732543
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:44:55,40.67552,-73.738865
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:53:42,40.674274,-73.735746
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:54:07,40.680065,-73.755745
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:54:07,40.683748,-73.76983
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:53:49,40.693586,-73.780816
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 14:53:58,40.665605,-73.734751
TEARDROP/LAYOVER,ROSEDALE LIRR STA via MERRICK,2017-06-01 15:03:55,40.702541,-73.791381
